2024-03-18 22:00:01.607 | DEBUG    | main:redirect:55 - city-traffic
2024-03-18 22:00:01.721 | DEBUG    | main:redirect:58 - 1324
2024-03-18 22:02:32.523 | DEBUG    | main:redirect:55 - city-traffic
2024-03-18 22:02:49.295 | DEBUG    | main:redirect:55 - city-traffic
2024-03-18 22:02:49.392 | DEBUG    | main:redirect:58 - 34
2024-03-18 22:05:22.829 | DEBUG    | main:redirect:55 - city-traffic
2024-03-18 22:11:39.035 | DEBUG    | main:redirect:55 - city-traffic
2024-03-18 22:11:39.166 | DEBUG    | main:redirect:58 - 34
2024-03-18 14:18:51.779 | DEBUG    | main:redirect:55 - city-traffic
2024-03-18 14:18:51.890 | DEBUG    | main:redirect:58 - 34
2024-03-18 14:29:53.062 | DEBUG    | main:redirect:55 - city-traffic
2024-03-18 14:29:53.149 | DEBUG    | main:redirect:58 - 34
2024-03-18 14:36:23.531 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:36:23.587 | DEBUG    | main:redirect:73 - 34
2024-03-18 14:45:41.680 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:45:41.782 | DEBUG    | main:redirect:73 - 34
2024-03-18 14:48:00.594 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:48:00.668 | DEBUG    | main:redirect:73 - 34
2024-03-18 14:49:11.782 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:49:11.832 | DEBUG    | main:redirect:73 - 34
2024-03-18 14:49:15.789 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:49:15.841 | DEBUG    | main:redirect:73 - 34
2024-03-18 14:49:35.701 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:49:35.777 | DEBUG    | main:redirect:73 - 34
2024-03-18 14:52:19.537 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:52:19.646 | DEBUG    | main:redirect:73 - 34
2024-03-18 14:58:20.395 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 14:58:20.486 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:06:35.164 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:06:35.269 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:07:41.230 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:07:41.315 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:12:07.735 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:12:07.841 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:14:43.842 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:14:43.951 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:17:28.308 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:17:28.415 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:17:55.916 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:17:56.045 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:18:16.774 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:18:16.878 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:19:45.588 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:19:45.656 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:20:11.005 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:20:11.112 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:20:47.124 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:20:47.187 | DEBUG    | main:redirect:73 - 34
2024-03-18 15:21:25.248 | DEBUG    | main:redirect:70 - city-traffic
2024-03-18 15:21:25.378 | DEBUG    | main:redirect:73 - 34
2024-04-15 11:19:17.404 | DEBUG    | main:redirect:70 - city-traffic
2024-04-15 11:19:17.485 | DEBUG    | main:redirect:73 - 34
